,Rank,Week,Date,Day,Winner,Winner_Pts,At,Loser,Loser_Pts,Notes
0,1,1,"Sep 4, 1976",Sat,Arkansas State,31,,Louisiana-Monroe,13,
1,2,1,"Sep 4, 1976",Sat,Eastern Kentucky,21,@,Dayton,7,
2,3,1,"Sep 4, 1976",Sat,Furman,18,@,North Carolina State,12,
3,4,1,"Sep 4, 1976",Sat,Kansas,28,@,Oregon State,16,
4,5,1,"Sep 4, 1976",Sat,Memphis,21,,Mississippi,16,
5,6,1,"Sep 4, 1976",Sat,Mississippi State,7,,North Texas,0,
6,7,1,"Sep 4, 1976",Sat,Morehead State,31,,Marshall,14,
7,8,1,"Sep 4, 1976",Sat,New Mexico State,30,@,Drake,29,
8,9,1,"Sep 4, 1976",Sat,North Carolina,14,,Miami (OH),10,
9,10,1,"Sep 4, 1976",Sat,Ohio,23,@,Eastern Michigan,7,
10,11,1,"Sep 4, 1976",Sat,San Jose State,45,,Utah State,10,
11,12,1,"Sep 4, 1976",Sat,South Carolina,21,,Appalachian State,10,
12,13,1,"Sep 4, 1976",Sat,Texas-El Paso,38,,Texas-Arlington,15,
13,14,1,"Sep 4, 1976",Sat,Tulsa,22,,Richmond,7,
14,15,1,"Sep 4, 1976",Sat,Virginia Tech,23,@,Wake Forest,6,
15,16,2,"Sep 9, 1976",Thu,UCLA,28,@,Arizona State,10,
16,17,2,"Sep 11, 1976",Sat,Air Force,36,,Pacific,3,
17,18,2,"Sep 11, 1976",Sat,Appalachian State,44,,East Tennessee State,3,
18,19,2,"Sep 11, 1976",Sat,Arizona,31,,Auburn,19,
19,20,2,"Sep 11, 1976",Sat,Arkansas,33,,Utah State,16,"Little Rock, AR"
20,21,2,"Sep 11, 1976",Sat,Army,16,,Lafayette,6,
21,22,2,"Sep 11, 1976",Sat,Ball State,41,,Louisiana Tech,28,
22,23,2,"Sep 11, 1976",Sat,Boston College,14,,Texas,13,
23,24,2,"Sep 11, 1976",Sat,Bowling Green State,22,@,Syracuse,7,
24,25,2,"Sep 11, 1976",Sat,Cal State Fullerton,10,,Cal Poly-Pomona,10,
25,26,2,"Sep 11, 1976",Sat,Chattanooga,24,@,Illinois State,0,
26,27,2,"Sep 11, 1976",Sat,Cincinnati,21,@,Tulane,14,
27,28,2,"Sep 11, 1976",Sat,Clemson,10,,Citadel,7,
28,29,2,"Sep 11, 1976",Sat,Colgate,13,,Connecticut,7,
29,30,2,"Sep 11, 1976",Sat,Dayton,41,@,Youngstown State,16,
30,31,2,"Sep 11, 1976",Sat,Duke,21,@,Tennessee,18,
31,32,2,"Sep 11, 1976",Sat,East Carolina,48,,Southern Mississippi,0,
32,33,2,"Sep 11, 1976",Sat,Furman,17,@,Tennessee Tech,7,
33,34,2,"Sep 11, 1976",Sat,Georgia,36,,California,24,
34,35,2,"Sep 11, 1976",Sat,Houston,23,@,Baylor,5,
35,36,2,"Sep 11, 1976",Sat,Illinois,24,,Iowa,6,
36,37,2,"Sep 11, 1976",Sat,Iowa State,58,,Drake,14,
37,38,2,"Sep 11, 1976",Sat,Kansas,35,,Washington State,16,
38,39,2,"Sep 11, 1976",Sat,Kansas State,13,,Brigham Young,3,
39,40,2,"Sep 11, 1976",Sat,Kent State,20,@,Central Michigan,10,
40,41,2,"Sep 11, 1976",Sat,Kentucky,38,,Oregon State,13,
41,42,2,"Sep 11, 1976",Sat,Lamar,17,,Northwestern State,6,
42,43,2,"Sep 11, 1976",Sat,Long Beach State,19,,Weber State,7,
43,44,2,"Sep 11, 1976",Sat,Louisiana-Lafayette,41,,Fresno State,14,
44,45,2,"Sep 11, 1976",Sat,Marshall,21,,Miami (OH),16,
45,46,2,"Sep 11, 1976",Sat,Maryland,31,,Richmond,7,
46,47,2,"Sep 11, 1976",Sat,Massachusetts,28,,Toledo,14,
47,48,2,"Sep 11, 1976",Sat,McNeese State,38,,Southern Illinois,10,
48,49,2,"Sep 11, 1976",Sat,Memphis,21,,Florida State,12,
49,50,2,"Sep 11, 1976",Sat,Michigan,40,,Wisconsin,27,
50,51,2,"Sep 11, 1976",Sat,Minnesota,32,,Indiana,13,
51,52,2,"Sep 11, 1976",Sat,Mississippi,10,,Alabama,7,"Jackson, MS"
52,53,2,"Sep 11, 1976",Sat,Missouri,46,@,Southern California,25,
53,54,2,"Sep 11, 1976",Sat,Nebraska,6,,Louisiana State,6,
54,55,2,"Sep 11, 1976",Sat,New Hampshire,17,@,Holy Cross,3,
55,56,2,"Sep 11, 1976",Sat,New Mexico State,13,,Texas-El Paso,10,
56,57,2,"Sep 11, 1976",Sat,North Carolina,24,@,Florida,21,"Tampa, FL"
57,58,2,"Sep 11, 1976",Sat,North Texas,24,,Texas-Arlington,7,
58,59,2,"Sep 11, 1976",Sat,Ohio State,49,,Michigan State,21,
59,60,2,"Sep 11, 1976",Sat,Oklahoma,24,@,Vanderbilt,3,
60,61,2,"Sep 11, 1976",Sat,Oklahoma State,33,,Tulsa,21,
61,62,2,"Sep 11, 1976",Sat,Oregon,17,,Colorado State,3,
62,63,2,"Sep 11, 1976",Sat,Penn State,15,,Stanford,12,
63,64,2,"Sep 11, 1976",Sat,Pittsburgh,31,@,Notre Dame,10,
64,65,2,"Sep 11, 1976",Sat,Purdue,31,,Northwestern,19,
65,66,2,"Sep 11, 1976",Sat,Rutgers,13,@,Navy,3,
66,67,2,"Sep 11, 1976",Sat,San Jose State,48,,Hawaii,7,
67,68,2,"Sep 11, 1976",Sat,South Carolina,27,@,Georgia Tech,17,
68,69,2,"Sep 11, 1976",Sat,Southern Methodist,34,,Texas Christian,14,
69,70,2,"Sep 11, 1976",Sat,Temple,23,@,Akron,13,
70,71,2,"Sep 11, 1976",Sat,Texas A&M;,19,,Virginia Tech,0,
71,72,2,"Sep 11, 1976",Sat,Texas Tech,24,,Colorado,7,
